"皮質骨の基本構造は何と呼ばれるか？","オステオン（ハバース系）"
"骨モデリングと骨リモデリングの主な違いは何か？","モデリングは骨の形態変化、リモデリングは骨組織の置換"
"骨細胞は何によって骨組織のひずみを感知するか？","メカニカルストレス"
"骨細胞が発現しリン代謝に関与するホルモンは何か？","FGF23"
"骨細胞が発現しWNTシグナルを抑制するタンパク質は何か？","スクレロスチン"
"ビタミンDは何性ビタミンに分類されるか？","脂溶性ビタミン"
"ビタミンDは皮膚で何を受けて合成されるか？","紫外線照射"
"ビタミンDは肝臓で水酸化されて何になるか？","25-ヒドロキシビタミンD"
"血中25-ヒドロキシビタミンD濃度は何の指標となるか？","ビタミンD充足度"
"25-ヒドロキシビタミンDはどこで水酸化されて活性型になるか？","腎臓（1位水酸化）"
"活性型ビタミンDの作用の一つは何か？","腸管からのカルシウム吸収促進"
"ビタミンDはどのホルモンの産生・分泌を抑制するか？","副甲状腺ホルモン（PTH）"
"血清カルシウム濃度は主に何によって調節されるか？","PTHとビタミンD"
"PTHとビタミンDはいずれも血清カルシウム濃度にどのような作用を持つか？","増加させる"
"ビタミンDはどのホルモンの産生・分泌を抑制するか？","副甲状腺ホルモン（PTH）"
"血清25-ヒドロキシビタミンD濃度が30ng/mL以上の場合は何と判断されるか？","充足"
"血清25-ヒドロキシビタミンD濃度が20〜30ng/mLの場合は何と判断されるか？","ビタミンD不足"
"血清25-ヒドロキシビタミンD濃度が20ng/mL未満の場合は何と判断されるか？","ビタミンD欠乏"
"ビタミンDは血清リン濃度にどのような作用を持つか？","増加させる"
"FGF23は血清リン濃度にどのような作用を持つか？","低下させる"
"持続的に血清PTH濃度が高い状態では骨にどのような変化が起こるか？","骨吸収が亢進し骨量が減少する"
"間欠的なPTH投与は骨量にどのような影響を与えるか？","骨量を増加させる"
"WNTシグナルは骨芽細胞にどのような影響を与えるか？","骨芽細胞分化を促進する"
"スクレロスチンはWNTシグナルにどのような作用を持つか？","抑制する"
"RANKLはどの細胞が産生するか？","骨芽細胞や骨髄間質細胞"
"RANKLは何の発生・分化に必須か？","破骨細胞"
"FGF23は腎で何を促進するか？","リン排泄"
"FGF23が過剰になるとどのような病態を引き起こしうるか？","低リン血症性骨軟化症"
"男性の骨ではアロマターゼにより何が何に転換されるか？","アンドロゲンがエストロゲンに転換される"
"骨芽細胞は何に由来するか？","未分化間葉系細胞"
"骨芽細胞は骨のどこに存在するか？","骨組織表面"
"骨芽細胞の主な働きは何か？","骨基質の合成"
"骨芽細胞はどのホルモンの受容体を発現しているか？","副甲状腺ホルモン（PTH）"
"ruffled borderはどの細胞にみられる構造か？","破骨細胞"
"骨芽細胞が発現する破骨細胞分化に必須の因子は何か？","RANKL"
"RANKLの受容体は何か？","RANK"
"RANKはどの細胞やその前駆細胞に発現しているか？","破骨細胞および破骨細胞前駆細胞"
"骨芽細胞によるRANKL発現は破骨細胞にどのような影響を与えるか？","形成・機能・生存を調節する"
"骨芽細胞と骨細胞の違いを一つ挙げよ","骨芽細胞は骨形成に積極的に関与し、骨細胞は骨基質内に埋没して代謝・機械刺激の感知を行う"
"骨芽細胞の分化を促進する主要なシグナル経路は何か？","WNT/β-カテニン経路"
"骨芽細胞の活動性を抑制するサイトカインの例を一つ挙げよ","スクレロスチン"
"骨の代謝を反映する物質を何というか？","骨代謝マーカー"
"BAPは骨形成マーカーか骨吸収マーカーか？","骨形成マーカー"
"PINPは骨形成マーカーか骨吸収マーカーか？","骨形成マーカー"
"DPDは骨形成マーカーか骨吸収マーカーか？","骨吸収マーカー"
"NTXは骨形成マーカーか骨吸収マーカーか？","骨吸収マーカー"
"TRACP-5bは骨形成マーカーか骨吸収マーカーか？","骨吸収マーカー"
"原発性副甲状腺機能亢進症では骨形成マーカーと骨吸収マーカーはどうなるか？","いずれも上昇する"
"原発性甲状腺機能亢進症では骨形成マーカーと骨吸収マーカーはどうなるか？","いずれも上昇する"
"骨形成マーカーと骨吸収マーカーが同時に上昇するのは何を意味するか？","骨代謝回転の亢進"

