"骨盤骨折はまず何の破綻の有無により分類されるか？","骨盤輪の破綻の有無"
"open book型骨折の発生機序は何か？","前後方向からの圧迫による恥骨結合部骨折または離開＋仙腸関節離開"
"open book型骨折の名称の由来は何か？","骨盤が本を開いた形に似ているため"
"Duverney骨折の特徴は何か？","腸骨翼単独骨折で側方からの直達外力により発生し骨盤輪の安定性は保たれる"
"Malgaigne骨折の発生機序は何か？","垂直剪断力による前方閉鎖孔部での骨盤輪離断＋同側腸骨後方の垂直骨折"
"Malgaigne骨折の転位方向はどこか？","上方"
"寛骨臼骨折の主な受傷機転は何か？","高所からの転落や大転子への衝撃"
"straddle骨折の特徴は何か？","前方からの外力による両側恥骨上下枝骨折"
"寛骨臼骨折の発生で最も多い外力のかかり方は何か？","間接的外力（大転子、屈曲膝、伸展膝足部からの力が大腿骨を介して作用）"
"寛骨臼骨折に合併しやすい他部位の損傷は何か？","下肢骨折"
"寛骨臼骨折のうち後壁骨折にしばしば伴う損傷は何か？","股関節後方脱臼と坐骨神経麻痺"
"股関節脱臼整復の目的を2つ挙げよ","坐骨神経圧迫解除、大腿骨頭壊死リスク低減"
"寛骨臼骨折治療で外傷後変形性関節症を防ぐ最大のポイントは何か？","関節面の正確な整復と適合性の良い股関節の獲得"
"寛骨臼骨折で最も一般的な固定方法は何か？","プレートや螺子による内固定"
"寛骨臼骨折における内固定の最大の禁忌は何か？","高度の骨粗鬆症"

